"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.138596780E2,1.936299899E1,-9.915850002E1,2.250082731E3,2.242358213E3,1.110408036E-1,2.681582291E2,4.502699170E-1,7.999999999E0,6.103532136E0,-1.000000000E0
1.148596569E2,1.936299773E1,-9.915849950E1,2.250071126E3,2.242346606E3,3.666813257E-2,2.681582292E2,4.503172148E-1,8.000000000E0,6.046002247E0,-1.000000000E0
1.158596363E2,1.936299760E1,-9.915849907E1,2.250129208E3,2.242404688E3,2.816216497E-2,2.681582293E2,4.503642404E-1,8.000000000E0,6.113347784E0,-1.000000000E0
1.168596156E2,1.936299795E1,-9.915849933E1,2.250069480E3,2.242344961E3,5.171382206E-2,2.681582292E2,4.504081490E-1,8.000000000E0,6.107902995E0,-1.000000000E0
1.178595943E2,1.936299831E1,-9.915849916E1,2.250051868E3,2.242327350E3,0.000000000E0,2.681582293E2,4.504081490E-1,8.000000000E0,6.228829969E0,-1.000000000E0
1.188595729E2,1.936299831E1,-9.915849916E1,2.250051868E3,2.242327350E3,0.000000000E0,2.681582293E2,4.505868356E-1,8.000000000E0,6.368107021E0,-1.000000000E0
1.198595523E2,1.936299690E1,-9.915849997E1,2.250084133E3,2.242359610E3,1.196821560E-1,2.681582289E2,4.506631751E-1,8.000000000E0,6.359610050E0,-1.000000000E0
1.208595306E2,1.936299701E1,-9.915849925E1,2.249960932E3,2.242236411E3,2.044926003E-2,2.681582292E2,4.506844470E-1,8.000000000E0,6.479417833E0,-1.000000000E0
1.218595096E2,1.936299708E1,-9.915849944E1,2.250022533E3,2.242298012E3,2.834141229E-2,2.681582291E2,4.508316485E-1,8.000000000E0,6.363302460E0,-1.000000000E0
1.228594891E2,1.936299702E1,-9.915849804E1,2.250067335E3,2.242342816E3,1.610375133E-2,2.681582296E2,4.509535001E-1,8.000000000E0,6.387817750E0,-1.000000000E0
1.238594674E2,1.936299722E1,-9.915849918E1,2.250149341E3,2.242424821E3,8.562076520E-2,2.681582292E2,4.510884149E-1,8.000000001E0,6.331882193E0,-1.000000000E0
1.248594470E2,1.936299707E1,-9.915849791E1,2.250110023E3,2.242385505E3,2.348898024E-2,2.681582296E2,4.511825755E-1,8.000000000E0,6.345940077E0,-1.000000000E0
1.258594253E2,1.936299706E1,-9.915849880E1,2.250090763E3,2.242366243E3,0.000000000E0,2.681582293E2,4.513222927E-1,8.000000000E0,6.317364701E0,-1.000000000E0
1.268594046E2,1.936299580E1,-9.915849877E1,2.249941080E3,2.242216557E3,8.867557544E-2,2.681582293E2,4.514980733E-1,8.000000002E0,6.429164662E0,-1.000000000E0
1.278593839E2,1.936299720E1,-9.915849798E1,2.250033293E3,2.242308775E3,4.573842370E-2,2.681582296E2,4.515212464E-1,8.000000001E0,6.471444296E0,-1.000000000E0
1.288593622E2,1.936299730E1,-9.915849779E1,2.250031543E3,2.242307025E3,0.000000000E0,2.681582297E2,4.515212464E-1,8.000000000E0,6.303035633E0,-1.000000000E0
1.298593415E2,1.936299730E1,-9.915849779E1,2.250031543E3,2.242307025E3,0.000000000E0,2.681582297E2,4.515212464E-1,8.000000000E0,6.262298762E0,-1.000000000E0
1.308593197E2,1.936299730E1,-9.915849779E1,2.250031543E3,2.242307025E3,0.000000000E0,2.681582297E2,4.517606689E-1,8.000000000E0,6.227036545E0,-1.000000000E0
1.318592989E2,1.936299554E1,-9.915849648E1,2.250073704E3,2.242349186E3,2.163028969E-2,2.681582300E2,4.517873911E-1,8.000000000E0,6.203031211E0,-1.000000000E0
1.328592786E2,1.936299535E1,-9.915849633E1,2.250077810E3,2.242353291E3,0.000000000E0,2.681582300E2,4.517873911E-1,8.000000000E0,6.157272972E0,-1.000000000E0
1.338592573E2,1.936299535E1,-9.915849633E1,2.250077810E3,2.242353291E3,0.000000000E0,2.681582300E2,4.517873911E-1,8.000000000E0,6.121248450E0,-1.000000000E0
1.348617065E2,1.936299535E1,-9.915849633E1,2.250077810E3,2.242353291E3,0.000000000E0,2.681582300E2,4.519349483E-1,8.000000000E0,6.087060315E0,-1.000000000E0
1.358617187E2,1.936299534E1,-9.915849492E1,2.250080229E3,2.242355713E3,1.287286285E-2,2.681582305E2,4.520224151E-1,8.000000000E0,6.060489350E0,-1.000000000E0
1.368616978E2,1.936299555E1,-9.915849411E1,2.250155436E3,2.242430922E3,7.682990882E-3,2.681582308E2,4.521435079E-1,8.000000000E0,6.158764125E0,-1.000000000E0
1.378616980E2,1.936299493E1,-9.915849317E1,2.250233566E3,2.242509052E3,2.474564906E-2,2.681582310E2,4.522337679E-1,8.020820869E0,6.125800694E0,-1.000000000E0
1.388616976E2,1.936299555E1,-9.915849262E1,2.250287290E3,2.242562779E3,4.040741323E-2,2.681582313E2,4.522674548E-1,8.019779826E0,6.089458576E0,-1.000000000E0
1.398616618E2,1.936299578E1,-9.915849241E1,2.250298526E3,2.242574015E3,0.000000000E0,2.681582314E2,4.522674548E-1,8.018790834E0,6.071909402E0,-1.000000000E0
1.408616616E2,1.936299578E1,-9.915849241E1,2.250298526E3,2.242574015E3,0.000000000E0,2.681582314E2,4.522674548E-1,8.017851293E0,6.060563355E0,-1.000000000E0
1.418616610E2,1.936299578E1,-9.915849241E1,2.250298526E3,2.242574015E3,0.000000000E0,2.681582314E2,4.522674548E-1,8.016958728E0,6.052958373E0,-1.000000000E0
1.428616273E2,1.936299578E1,-9.915849241E1,2.250298526E3,2.242574015E3,0.000000000E0,2.681582314E2,4.524994669E-1,8.016110792E0,6.083976412E0,-1.000000000E0
1.438616292E2,1.936299377E1,-9.915849184E1,2.250685112E3,2.242960599E3,1.406194315E-1,2.681582314E2,4.526719941E-1,8.015305256E0,6.226612920E0,-1.000000000E0
1.448616298E2,1.936299509E1,-9.915849098E1,2.250557984E3,2.242833475E3,3.919900047E-2,2.681582318E2,4.527662271E-1,8.014539990E0,6.163328492E0,-1.000000000E0
1.458615981E2,1.936299464E1,-9.915849174E1,2.250562229E3,2.242837717E3,4.168469294E-2,2.681582315E2,4.527756028E-1,8.013812991E0,6.124235210E0,-1.000000000E0
1.468615986E2,1.936299456E1,-9.915849174E1,2.250558913E3,2.242834401E3,0.000000000E0,2.681582315E2,4.529036819E-1,8.013122340E0,6.174954295E0,-1.000000000E0
1.478615979E2,1.936299511E1,-9.915849281E1,2.250411671E3,2.242687158E3,3.341411632E-2,2.681582312E2,4.529930974E-1,8.012466224E0,6.390872958E0,-1.000000000E0
1.488615649E2,1.936299448E1,-9.915849228E1,2.250417209E3,2.242692696E3,2.081688986E-2,2.681582313E2,4.530348277E-1,8.011842913E0,6.031686358E0,-1.000000000E0
1.498615373E2,1.936299442E1,-9.915849267E1,2.250405879E3,2.242681366E3,2.190414847E-2,2.681582312E2,4.530661525E-1,8.011250767E0,6.496615979E0,-1.000000000E0
1.508615106E2,1.936299419E1,-9.915849251E1,2.250193775E3,2.242469261E3,9.348835469E-2,2.681582312E2,4.531447724E-1,8.010688231E0,6.394503785E0,-1.000000000E0
